Hohes Parlament!	.
Nach dem brutalen Vorgehen der Staatsmacht gegen die Demonstranten, sind immer noch Hunderte im Gefängnis, haben Tausende Studenten ihren Platz an der Universität verloren, haben Arbeiter ihren Arbeitsplatz verloren, Familien ihr Einkommen.	The state’s forces having been brutal in their treatment of demonstrators, hundreds are still in jail, and thousands of students have lost their places at university; workers have lost their jobs and families their incomes.
Es haben sich einige Mitgliedstaaten zusammengetan, die Visegrad-Staaten etwa – Polen, Slowakei, Tschechien und Ungarn –, und auch Österreich macht hier mit und bietet Stipendien für weißrussische Studenten an. In diesem Zusammenhang bitte ich auch um die Unterstützung der Kommission, damit wir Weißrussland wirklich helfen.	A number of Member States have formed a coalition, the Visegrad states – Poland, Slovakia, the Czech Republic and Hungary – among them, and Austria is also playing its part by offering scholarships to Belarusian students, and this is what prompts me to ask the Commission for support, in order that we might give Belarus real help.
Vor allem müssen wir gemeinsam die Stimme erheben und umgehend die Freilassung der Inhaftierten, vor allem auch des Präsidentschaftskandidaten Alexander Kosulin, verlangen.	Above all, we must join together in raising our voices and demanding the prompt release of the internees, in particular of the presidential candidate Alexander Kosulin.
Wir sollten zugleich auch betonen, dass die Union nicht daran interessiert ist, Weißrussland oder gar die weißrussische Bevölkerung zu isolieren.	At the same time, we should also stress that the EU has no interest in isolating Belarus, and certainly not its people.
Wir sollten vor allem die belarussische Zivilgesellschaft bei der Verwirklichung ihrer demokratischen Vorstellungen unterstützen.	We should also support civil society in Belarus in establishing the democracy they want.
Das Regime wird so lange Ziel unserer restriktiven Maßnahmen, die wir beim Europäischen Rat vereinbart haben, bleiben, als autoritäre Methoden und die systematische Unterdrückung der Zivilgesellschaft fortbestehen.	The regime there will be subject to the restrictive measures we adopted at the European Council for as long as it continues its authoritarian approach and systematically suppresses civil society.
Wir haben noch drei Monate Präsidentschaft vor uns. Viel Arbeit wartet noch auf uns, das weiß ich. Ich vertraue darauf, dass wir, so wie in der Vergangenheit, in sehr engen und guten Kontakten und in guter Zusammenarbeit die wichtigen Fragen lösen.	We still have three months of our presidency ahead of us, and I know that there is a lot of work in store for us, but I am confident that we will – as we have done before – resolve the important issues through good contacts and good cooperation.
Ich vertraue sehr darauf, dass Sie sich, so wie bisher, einbringen, durchaus auch kritisch und fordernd, wenn Sie bestimmte Vorstellungen oder Ideen haben.	I am very confident that you will, as you have done before, have your own contributions to make, which may well be critical or exacting, if you have particular thoughts or ideas.
Ich verspreche Ihnen absolute Kooperation, und ich werde auch auf Ratsebene versuchen, möglichst viel weiter voranzubringen, ohne großen Donnerhall und Ankündigungen, sondern eher im Sinne konkreter Resultate.	I can promise you my absolute cooperation, and I will also try to move as much as possible forward at Council level, without great fanfare and proclamation, but rather in such a way as to achieve real results.
Das ist mein Programm, und diesbezüglich kann ich, glaube ich, auch in der ersten Hälfte einiges vorweisen.	That is my programme, and I believe I can point to its having achieved a certain amount even before our presidency has reached its halfway term.
