(Beifall)	(Applause)
Wir müssen uns zu unseren europäischen Rechtsgrundsätzen bekennen: pacta sunt servanda - Verträge sind einzuhalten.	We must commit to our European legal principles: pacta sunt servanda - treaties are to be honoured.
Unser Wille muss stark und entschlossen sein, diese notwendigen Reformen zu verwirklichen. Dabei müssen wir diese Reformen so vorantreiben, dass die Völker in der Europäischen Union nicht gespalten, sondern zusammengeführt werden.	Our will to implement these necessary reforms must be strong and determined, and we must drive forward these reforms in such a way that the nations of the European Union are brought together rather than driven apart.
Wir bestehen darauf, dass das Europäische Parlament angemessen an den Arbeiten beteiligt wird.	We insist that the European Parliament must be appropriately involved in the work.
Wir als Europäisches Parlament müssen auch zur Reform bei uns selbst bereit sein.	We in this House must also be prepared to reform ourselves.
Das stellt zunächst hohe Anforderungen an jeden von uns, beispielsweise die Präsenz bei Abstimmungen und wichtigen Debatten.	In the first instance that will make great demands on every one of us, for example in terms of being present for votes and important debates.
Hier bleibt - wie wir alle wissen - noch viel zu tun.	As we are all aware, a lot remains to be done in this respect.
Ich wünschte mir, das Europäische Parlament wäre immer so gut besetzt wie heute Morgen, obwohl das noch steigerungsfähig ist. Deshalb werde ich übermorgen, am Donnerstag, den Fraktionsvorsitzenden einen Vorschlag für eine umfassende Reform der Arbeiten des Europäischen Parlaments vorlegen.	I wish the House were always as full as it is this morning, although there is still room for a few more, and so, on Thursday, the day after tomorrow, I shall be submitting a proposal to the group chairmen for a comprehensive reform of the way this House works.
Die Konferenz der Präsidenten, also die Fraktionsvorsitzenden - und das sind wichtige Leute -, hat in diesem Sinne eine Arbeitsgruppe zur Verbesserung unserer Arbeiten eingesetzt.	The Conference of Presidents, in other words the group chairmen - and they are important people - have already set up a working party on how to improve the way we work.
Ich sehe, dass ein Lächeln auf den Gesichtern der Fraktionsvorsitzenden ist - sie freuen sich über diese Bestätigung.	I can see smiles on the faces of the Group Chairmen, who are pleased to hear that confirmed.
Ich bitte die Kolleginnen und Kollegen, mit der Arbeit zu beginnen und so rasch wie möglich die Arbeitsergebnisse vorzulegen.	I ask you, fellow-Members, to start work and to present us with its results as soon as you possibly can.
Wir haben eine effiziente Verwaltung, und ich möchte Generalsekretär Julian Priestley, der am 1. März nach zehn Jahren aus seinem Amt scheidet, für sein großes Engagement aufrichtig und herzlich danken!	This House is efficiently run, and I should like to thank Secretary-General Julian Priestley, who will be leaving office on 1 March after ten years, most warmly and sincerely for the great dedication he has shown!
(Beifall)	(Applause)
Liebe Kolleginnen und Kollegen! Es gibt sicher auch gelegentlich, vielleicht auch häufiger Anlass, die Verwaltung zu kritisieren.	Ladies and gentlemen, there is no doubt about the fact that, from time to time, and perhaps more frequently than that, there is cause to criticise the administration; we positively welcome such criticism.
Wir lassen uns ja auch selber kritisieren. Aber wenn man eng mit Julian Priestley und seinen Mitarbeiterinnen und Mitarbeitern zusammenarbeitet, dann sieht man, welch hohes Verantwortungsbewusstsein, welches Engagement sie haben, und ich habe bisher noch nicht erlebt, dass man gegen die Absichten des Präsidenten gehandelt hätte.	Those, though, who have worked closely with Mr Priestley and his staff come to recognise just how aware of their responsibilities they are and how great their commitment is, and I have never known any of them to act contrary to the President's intentions.
Natürlich wünsche ich mir das auch für meine ganze Amtszeit. Ich werde einen engen Kontakt halten, damit wir in die gleiche Richtung gehen.	I do of course hope that things will go on like that throughout my term of office, and, in order that we may all go in the same direction, I shall maintain close contact.
Herzlichen Dank, Julian Priestley! Der einzige Maßstab für die Verwaltung ist Dienst an unseren europäischen Überzeugungen - parteipolitisch unabhängig, fair und objektiv.	My warm thanks, then, go to Mr Julian Priestley, and let me say that the only yardstick by which the administration should be judged is the way that it serves our European convictions - without party political bias, fairly and objectively.
Meine Damen und Herren! Europas Zukunft ist in hohem Maße davon abhängig, wie uns das Zusammenleben der Kulturen und Religionen in der Europäischen Union und mit unseren Nachbarn vor allem in der arabischen und islamischen Welt gelingt.	I can tell this House that Europe's future is largely dependent on successful coexistence between the cultures and religions within the European Union and between the European Union and our neighbours, first and foremost in the Arab and Islamic world.
Wir müssen daher mitwirken, dass der Dialog der Kulturen und Religionen das Markenzeichen Europas wird.	We must therefore do our part to ensure that dialogue among cultures and religions is the hallmark of Europe.
Wir leben auf dem Kontinent der drei großen Kulturen und Religionen, der christlichen, der jüdischen und der islamischen. Und wir haben Mitbürgerinnen und Mitbürger, die aus einer der anderen großen Kulturen dieser Welt stammen und in den anderen Religionen dieser Erde ihre Heimat haben.	We live in the continent of the three great cultures and religions - the Christian, the Jewish and the Islamic, and we have fellow citizens who come from one of the world's other great cultures and who are adherents of the world's other religions.
Wir als Europäisches Parlament müssen Beispiele der europäischen Zivilgesellschaft ermutigen und unterstützen, die dem Dialog der Kulturen verpflichtet sind.	We, in this European Parliament, must encourage and support examples of European civil society that are dedicated to dialogue between cultures.
In Sevilla habe ich die Arbeit der Einrichtung "Tres Culturas" kennen gelernt, und ich sage es nicht nur als Referenz an meinen spanischen Vorgänger, Josep Borrell, dass wir alle Beispiele im europäischen Zusammenleben von Christen, Muslimen und Juden - und natürlich auch allen, die sich nicht zu diesen Religionen bekennen - aktiv unterstützen sollten.	In Seville I made the acquaintance of the work of the 'Tres Culturas' organisation, and I say to you - not only to honour my Spanish predecessor, Mr Josep Borrell - that we must actively support every example of coexistence in Europe of Christians, Muslims and Jews - and also, of course, of those who do not belong to any of these religions.
Dies ist die entscheidende Investition in unsere geistige Entwicklung.	This is a crucial investment in our intellectual development.
Es ist zugleich der beste Beitrag, um Anstöße zu geben für den Dialog der Kulturen über das Mittelmeer hinweg in den nahen Osten und nach Nordafrika.	At the same time, it is the best contribution we can make to encouraging dialogue between cultures across the Mediterranean and beyond, to the Middle East and North Africa.
Wir wollen nicht den "clash of civilisations", sondern wir wollen Frieden in Freiheit und Gerechtigkeit zwischen allen Völkern und Glaubensrichtungen.	We do not want the 'clash of civilisations', we want peace in freedom and justice among all nations and beliefs.
Dafür wollen wir eine geistige und kulturelle Brücke über das Mittelmeer schlagen.	This means building an intellectual and cultural bridge across the Mediterranean.
Dieser Dialog muss sich gründen auf Toleranz und Wahrheit.	This dialogue must be grounded in tolerance and truth.
Toleranz bedeutet nicht Beliebigkeit.	Tolerance does not mean accepting anything and everything.
Toleranz bedeutet, unter Wahrung der eigenen Überzeugungen die Überzeugungen des anderen zu respektieren und so gewaltfrei zusammenzuleben.	Tolerance means peaceful coexistence through respecting the convictions of the other while maintaining one's own.
Bei einem meiner vielen Besuche in arabischen Ländern wurde ich einmal von einem hohen islamischen Würdenträger gefragt, wie Moslems in Europa leben.	On one of my many visits to Arab countries, I was asked by a senior Islamic dignitary how Muslims live in Europe.
Meine Antwort war, dass sie oft nicht hinreichend integriert sind, aber ihren eigenen Glauben leben können und ihre Gebetshäuser und Moscheen haben.	My answer was that they are often not sufficiently integrated, but that they can live out their own beliefs and have their own mosques and places of prayer.
Meine Gegenfrage lautete, ob es wahr sei, dass in seinem Land eine Muslima oder ein Moslem mit dem Tode bestraft werden könne, wenn sie oder er zum christlichen Glauben übertreten wolle.	I went on to ask him if it was true that in his country a Muslim man or woman could be put to death for converting to Christianity.
Die mir nicht gegebene Antwort war die Antwort.	The fact that I received no answer was an answer in itself.
Liebe Kolleginnen und Kollegen! Ich bin fest davon überzeugt, dass der Dialog der Kulturen nur gelingen kann, wenn er sich gründet auf Wahrheit und gegenseitige Toleranz.	Ladies and gentlemen, I am firmly convinced that the Dialogue of Cultures can only succeed if it is based on truth and mutual tolerance.
(Beifall)	(Applause)
Ich habe mir vorgenommen, die arabischen Nachbarstaaten der Europäischen Union zu besuchen und bei meinen Besuchen in den Ländern der Europäischen Union das Gespräch mit ethnischen Minderheiten, gerade auch mit jungen Menschen zu suchen.	It is my intention to visit the European Union's neighbouring Arab states and, when visiting European Union countries, to try to have talks with ethnic minorities, particularly their younger members.
In der Europa-Mittelmeer-Versammlung haben wir eine wichtige parlamentarische Institution für den Dialog mit dem Nahen Osten, einschließlich Israels und der arabischen Welt.	We have an important parliamentary institution for dialogue with the Middle East, including Israel and the Arab world, in the shape of the Euro-Mediterranean Assembly.
Wir müssen diese Institution wirksam nutzen für Frieden, Partnerschaft, und wenn es geht, für Freundschaft.	We must use this institution effectively for peace, partnership and, if possible, friendship.
Am vergangenen Wochenende haben sich die vier Präsidenten, die den Vorstand der Europa-Mittelmeer-Versammlung bilden - also die Parlamentspräsidenten von Ägypten, von Tunesien, der den Vorsitz hat, die Parlamentspräsidentin Griechenlands und ich - in Tunis getroffen, und wir haben vereinbart, dass der Dialog der Kulturen und die Problematik der Arbeitslosigkeit in den Ländern des Mittelmeerraums das Thema des nächsten Dialogs im März sein soll, und dass wir uns im Juni in besonderer Weise mit dem Nahen Osten und dem -hoffentlich laufenden - Friedensprozess befassen wollen.	Last weekend, the four presidents who govern the Europe-Mediterranean Assembly, namely the presidents of the parliaments of Egypt, Tunisia - which is currently presiding - of Greece, and I myself, met in Tunis and agreed that the dialogue between cultures and the problem of unemployment in the countries around the Mediterranean would be the theme of the forthcoming dialogue in March, and that we wanted, in June, to give particular attention to the Middle East and to the peace process there, which we hoped would actually be up and running at the time.
Sobald es die Umstände erlauben, werde ich Israel, Palästina und den Libanon besuchen.	As soon as circumstances permit, I shall visit Israel, Palestine and Lebanon.
Ich bin dankbar für die mir übermittelte Einladung, vor dem israelischen Parlament, der Knesset, zu sprechen.	I am grateful for the invitation I have received to address the Israeli Parliament, the Knesset.
Bei unseren Einladungen für Ansprachen vor dem Europäischen Parlament sollten wir einen Schwerpunkt setzen im Hinblick auf den Dialog der Kulturen.	When inviting speakers to address the European Parliament, we should place the emphasis on the Dialogue of Cultures.
Helmut Kohl, der Ehrenbürger Europas ist, hat einmal gesagt: "Wir haben nicht viel Zeit.	Helmut Kohl, honorary citizen of the European Union, once said, 'We do not have much time.
Die Welt, in der wir leben, ist nicht bereit zu warten, bis wir unsere inneren Probleme gelöst haben."	The world we live in is not prepared to wait for us to solve our internal problems'.
Er hat Recht.	He was right.
Ich möchte hinzufügen: Nicht zu handeln, die Gleichgültigkeit, wäre die größte Schuld, die wir auf uns laden können.	To this I would add that failure to act, indifference, would be the greatest wrong we could commit.
Am Ende meiner Amtszeit wird ein neues Europäisches Parlament gewählt.	At the end of my term of office a new European Parliament will be elected.
Wenn unsere Arbeit überzeugend ist und auch in den nationalen Hauptstädten gut über Europa gesprochen wird, wird sich die Wahlbeteiligung bei den Wahlen zum Europäischen Parlament wieder erhöhen.	If we do convincing work and if good things are said about Europe in the national capitals as well, then the turnout for the European Parliament elections will go up again.
Dies zu erreichen, sollte unser Ehrgeiz sein.	It should be our ambition to achieve this.
Unsere Arbeit ist oft nüchtern, auch aufreibend und wenig spektakulär. Aber unsere Ziele sind groß und die Erwartungen an uns auch.	Our work is often unglamorous, it can be stressful and not particularly spectacular, but our goals are great, and so much is expected of us.
Ihnen zu genügen, das ist unser Anspruch.	We seek to live up to that.
Ich möchte Sie in dieser Aufgabe alle so vertreten, dass die Würde des Europäischen Parlaments, die Einigung unseres europäischen Kontinents und die Wirksamkeit der Europäischen Union gestärkt werden.	In this task I would like to represent you all in such a way that the dignity of the European Parliament, the unity of our continent of Europe and the effectiveness of the European Union are strengthened.
Ich bitte um Ihre Mithilfe, danke Ihnen für Ihr Vertrauen und hoffe, dass wir gemeinsam unsere Ziele erreichen.	I ask you for your help, thank you for your confidence and hope that together we can achieve our goals.
(anhaltender Beifall)	(Sustained applause)
